account_id,account_type,opened_days_ago,region,baseline_monthly_txn_count,baseline_avg_amount,dormancy_flag,true_label,all_roles
ACC00001,individual,913,North,15.2,14272.94,0,structuring_source,structuring_source
ACC00002,individual,60,North,19.9,8410.23,0,mule,mule
ACC00003,individual,1061,East,9.7,7185.3,0,mule,mule
ACC00004,individual,70,South,13.2,1287.82,0,mule,mule
ACC00005,individual,113,South,6.9,6124.01,0,mule,mule
ACC00006,individual,146,South,19.3,4196.29,0,mule,mule
ACC00007,individual,226,North,9.3,5311.59,0,layering_node,layering_node
ACC00008,individual,66,Central,9.0,4007.07,0,mule,mule
ACC00009,individual,184,North,11.9,2343.97,0,normal,normal
ACC00010,individual,730,Central,16.1,2091.02,0,normal,normal
ACC00011,individual,230,West,5.4,5640.92,0,mule,mule
ACC00012,shell,457,North,15.7,5541.15,0,normal,normal
ACC00013,individual,75,North,11.4,3980.76,0,normal,normal
ACC00014,individual,104,North,9.7,10300.89,0,normal,normal
ACC00015,individual,244,South,13.6,3753.49,0,normal,normal
ACC00016,individual,1310,South,8.6,7541.48,0,mule,mule
ACC00017,individual,516,Central,17.2,9432.31,0,mule,mule
ACC00018,business,33,Central,7.8,3958.23,0,normal,normal
ACC00019,business,302,North,9.6,4315.8,0,mule,mule
ACC00020,individual,127,Central,16.1,12700.14,0,normal,normal
ACC00021,business,201,South,13.8,3128.84,0,mule,mule
ACC00022,business,257,Central,11.8,14694.82,0,mule,mule
ACC00023,individual,177,West,12.4,3986.6,0,mule,mule
ACC00024,individual,223,South,10.9,6310.55,0,normal,normal
ACC00025,individual,432,West,8.0,3459.12,0,normal,normal
ACC00026,business,505,Central,16.6,6186.51,0,normal,normal
ACC00027,business,71,East,12.5,9682.27,0,mule,mule
ACC00028,business,689,North,8.5,3907.44,0,mule,mule
ACC00029,individual,177,South,13.5,5900.18,0,normal,normal
ACC00030,individual,224,West,4.9,3661.21,0,normal,normal
ACC00031,individual,133,East,11.2,6521.34,0,layering_node,layering_node;mule
ACC00032,individual,374,East,13.3,4665.21,0,mule,mule
ACC00033,shell,97,South,2.4,4824.39,0,normal,normal
ACC00034,individual,21,South,12.3,27564.1,0,mule,mule
ACC00035,individual,107,East,11.0,6069.81,0,normal,normal
ACC00036,individual,211,North,17.7,8319.46,1,mule,mule
ACC00037,individual,400,North,19.0,1842.18,0,normal,normal
ACC00038,individual,240,West,7.0,3306.32,0,mule,mule
ACC00039,individual,278,North,4.2,5156.4,0,mule,mule
ACC00040,individual,67,East,7.4,14544.29,0,normal,normal
ACC00041,business,54,East,8.1,3922.78,0,mule,mule
ACC00042,business,639,Central,16.1,2076.41,0,normal,normal
ACC00043,business,253,East,4.0,5592.85,0,layering_node,layering_node;mule
ACC00044,individual,692,North,13.3,8495.37,0,normal,normal
ACC00045,individual,138,West,14.6,6050.46,0,normal,normal
ACC00046,business,464,Central,8.6,5782.42,0,normal,normal
ACC00047,individual,696,North,13.5,2980.82,0,mule,mule
ACC00048,individual,62,West,21.3,6847.8,0,normal,normal
ACC00049,individual,86,North,7.1,8526.71,0,normal,normal
ACC00050,individual,421,Central,16.8,6561.32,0,normal,normal
ACC00051,individual,262,East,10.8,2899.76,0,mule,mule
ACC00052,individual,93,Central,11.6,6240.44,0,normal,normal
ACC00053,business,309,East,12.1,13595.22,0,layering_node,layering_node;mule
ACC00054,individual,213,Central,15.1,2697.25,0,normal,normal
ACC00055,individual,17,South,6.6,6889.34,0,normal,normal
ACC00056,business,933,North,10.9,8101.47,0,mule,mule
ACC00057,individual,800,North,14.4,4670.49,0,normal,normal
ACC00058,shell,585,South,7.8,1702.08,0,mule,mule
ACC00059,business,124,East,13.1,2054.9,0,mule,mule
ACC00060,business,367,North,7.6,5473.14,0,normal,normal
ACC00061,individual,1393,South,12.3,2208.17,0,layering_node,layering_node
ACC00062,business,415,North,17.4,10276.98,0,mule,mule
ACC00063,individual,114,West,14.6,7042.02,0,mule,mule
ACC00064,business,743,East,14.6,72904.97,0,normal,normal
ACC00065,business,324,West,16.8,7754.08,0,mule,mule
ACC00066,business,133,East,8.1,4163.98,0,mule,mule
ACC00067,individual,20,South,23.6,1329.97,0,mule,mule
ACC00068,individual,278,East,9.6,10532.97,0,normal,normal
ACC00069,individual,231,East,8.4,7908.7,1,layering_node,layering_node;mule
ACC00070,individual,36,South,12.2,3114.67,0,mule,mule
ACC00071,individual,314,East,1.9,5599.98,0,normal,normal
ACC00072,business,104,North,8.0,4535.47,0,normal,normal
