transaction_id,timestamp,source_account,destination_account,amount,channel,transaction_type,is_suspicious,pattern_id,pattern_type
TXN000001,2026-06-01 02:21:53,ACC00571,ACC00563,4197.52,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000002,2026-06-01 03:34:36,ACC00245,ACC00407,14933.53,UPI,transfer,0,,normal
TXN000003,2026-06-01 03:48:04,ACC00093,ACC00096,7274.49,UPI,transfer,0,,normal
TXN000004,2026-06-01 04:00:34,ACC00473,ACC00445,5472.44,UPI,transfer,0,,normal
TXN000005,2026-06-01 04:51:05,ACC00624,ACC00488,4377.72,IMPS,transfer,0,,normal
TXN000006,2026-06-01 05:04:04,ACC00529,ACC00220,7081.65,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000007,2026-06-01 05:05:47,ACC00007,ACC00391,11633.95,RTGS,transfer,0,,normal
TXN000008,2026-06-01 05:19:05,ACC00634,ACC00340,47300.16,UPI,transfer,1,STRUCT011,structuring
TXN000009,2026-06-01 06:05:33,ACC00153,ACC00189,1747.05,UPI,transfer,0,,normal
TXN000010,2026-06-01 06:10:05,ACC00258,ACC00017,16302.0,RTGS,transfer,0,,normal
TXN000011,2026-06-01 06:18:33,ACC00634,ACC00008,49500.0,UPI,transfer,1,STRUCT011,structuring
TXN000012,2026-06-01 07:16:02,ACC00571,ACC00519,2057.31,NEFT,transfer,0,,normal
TXN000013,2026-06-01 07:26:01,ACC00442,ACC00282,5918.2,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000014,2026-06-01 07:53:56,ACC00634,ACC00466,49500.0,UPI,transfer,1,STRUCT011,structuring
TXN000015,2026-06-01 08:11:04,ACC00443,ACC00334,741.51,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000016,2026-06-01 08:26:50,ACC00400,ACC00035,9176.82,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000017,2026-06-01 09:31:00,ACC00634,ACC00468,49500.0,UPI,transfer,1,STRUCT011,structuring
TXN000018,2026-06-01 09:53:01,ACC00363,ACC00522,9582.55,UPI,transfer,0,,normal
TXN000019,2026-06-01 09:53:17,ACC00602,ACC00685,5764.55,UPI,transfer,0,,normal
TXN000020,2026-06-01 10:05:30,ACC00009,ACC00661,2481.86,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000021,2026-06-01 10:09:25,ACC00299,ACC00440,1468.95,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000022,2026-06-01 10:21:55,ACC00200,ACC00480,2848.19,UPI,transfer,0,,normal
TXN000023,2026-06-01 10:27:16,ACC00639,ACC00240,3059.22,NEFT,transfer,0,,normal
TXN000024,2026-06-01 10:43:52,ACC00310,ACC00132,578.15,NEFT,transfer,0,,normal
TXN000025,2026-06-01 10:43:55,ACC00151,ACC00116,7656.66,UPI,transfer,0,,normal
TXN000026,2026-06-01 10:50:09,ACC00634,ACC00448,49500.0,IMPS,transfer,1,STRUCT011,structuring
TXN000027,2026-06-01 10:52:50,ACC00255,ACC00688,4414.95,NEFT,transfer,0,,normal
TXN000028,2026-06-01 10:53:45,ACC00675,ACC00228,1112.74,NEFT,transfer,0,,normal
TXN000029,2026-06-01 11:20:04,ACC00634,ACC00564,49366.02,IMPS,transfer,1,STRUCT011,structuring
TXN000030,2026-06-01 11:23:11,ACC00008,ACC00052,4150.09,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000031,2026-06-01 11:24:41,ACC00293,ACC00550,21771.46,IMPS,transfer,0,,normal
TXN000032,2026-06-01 11:37:39,ACC00321,ACC00561,1499.33,UPI,transfer,0,,normal
TXN000033,2026-06-01 11:50:43,ACC00229,ACC00649,1190.32,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000034,2026-06-01 11:53:35,ACC00650,ACC00643,5639.59,RTGS,transfer,0,,normal
TXN000035,2026-06-01 12:12:33,ACC00618,ACC00653,3512.54,NEFT,transfer,0,,normal
TXN000036,2026-06-01 12:31:58,ACC00634,ACC00485,46585.65,IMPS,transfer,1,STRUCT011,structuring
TXN000037,2026-06-01 13:03:34,ACC00409,ACC00446,3633.62,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000038,2026-06-01 13:07:16,ACC00201,ACC00684,6391.9,RTGS,transfer,0,,normal
TXN000039,2026-06-01 13:18:33,ACC00012,ACC00201,3535.98,RTGS,transfer,0,,normal
TXN000040,2026-06-01 13:36:54,ACC00122,ACC00483,1224.55,RTGS,transfer,0,,normal
TXN000041,2026-06-01 13:44:03,ACC00634,ACC00116,49500.0,UPI,transfer,1,STRUCT011,structuring
TXN000042,2026-06-01 13:58:20,ACC00484,ACC00163,17337.69,RTGS,transfer,0,,normal
TXN000043,2026-06-01 14:06:25,ACC00396,ACC00125,2996.29,NEFT,transfer,0,,normal
TXN000044,2026-06-01 15:32:10,ACC00614,ACC00057,3919.8,IMPS,transfer,0,,normal
TXN000045,2026-06-01 15:55:41,ACC00135,ACC00490,6749.83,IMPS,transfer,0,,normal
TXN000046,2026-06-01 15:57:41,ACC00538,ACC00009,3753.14,UPI,transfer,0,,normal
TXN000047,2026-06-01 16:06:10,ACC00634,ACC00056,49500.0,IMPS,transfer,1,STRUCT011,structuring
TXN000048,2026-06-01 16:15:02,ACC00556,ACC00528,4977.37,RTGS,transfer,0,,normal
TXN000049,2026-06-01 16:17:03,ACC00650,ACC00472,6897.67,UPI,transfer,0,,normal
TXN000050,2026-06-01 16:24:14,ACC00557,ACC00268,3217.69,NEFT,transfer,0,,normal
TXN000051,2026-06-01 16:30:59,ACC00163,ACC00207,1605.64,IMPS,transfer,0,,normal
TXN000052,2026-06-01 16:33:28,ACC00570,ACC00392,26144.01,CASH_DEPOSIT,cash_deposit,0,,normal
TXN000053,2026-06-01 16:51:03,ACC00634,ACC00365,49159.2,IMPS,transfer,1,STRUCT011,structuring
